Statistical profiling result from log-v8-nodegub.log, (1557 ticks, 26 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     26    1.7%          /usr/lib/system/libsystem_c.dylib
     23    1.5%          /usr/lib/system/libsystem_malloc.dylib
     22    1.4%          /usr/lib/system/libsystem_kernel.dylib
     15    1.0%          /usr/lib/libc++.1.dylib
      2    0.1%          /usr/lib/system/libsystem_m.dylib
      2    0.1%          /usr/lib/system/libdyld.dylib
      1    0.1%          /usr/lib/system/libsystem_platform.dylib
      1    0.1%          /usr/lib/libobjc.A.dylib
      1    0.1%          /System/Library/Frameworks/CoreFoundation.framework/Versions/A/CoreFoundation

 [JavaScript]:
   ticks  total  nonlib   name
      6    0.4%    0.4%  LazyCompile: *resolve node:path:1091:10
      3    0.2%    0.2%  LazyCompile: *normalizeString node:path:66:25
      2    0.1%    0.1%  LazyCompile: *emit node:events:460:44
      2    0.1%    0.1%  Function: ^json /Volumes/Datos/CoderHouse/Backend/Modulo2/32-profilling-y-debug/desafio-entregable/node_modules/express/lib/response.js:250:25
      2    0.1%    0.1%  Function: ^hash /Volumes/Datos/CoderHouse/Backend/Modulo2/32-profilling-y-debug/desafio-entregable/node_modules/express-session/index.js:596:14
      2    0.1%    0.1%  Function: ^get length /Volumes/Datos/CoderHouse/Backend/Modulo2/32-profilling-y-debug/desafio-entregable/node_modules/mongodb/lib/utils.js:726:15
      1    0.1%    0.1%  RegExp: ^[\^_`a-zA-Z\-0-9!#$%&'*+.|~]+$
      1    0.1%    0.1%  RegExp: ^[!#$%&'*+.^_`|~0-9A-Za-z-]+\/[!#$%&'*+.^_`|~0-9A-Za-z-]+$
      1    0.1%    0.1%  RegExp: ^((?:@[^/\\%]+\/)?[^./\\%][^/\\%]*)(\/.*)?$
      1    0.1%    0.1%  RegExp: ;\s*charset\s*=
